1102;2;"Story";"DM1 14-089 - Demenagement avec acquisition mobile";;;"Permettre le déménagement de RTC ou HOME vers OPEN avec acquisition d'une ligne mobile :
- mettre un message de warning dans le bloc de facturation dans l'étape ""validation de la commande""";;"Christophe";"Lors d'un déménagement vers OPEN avec acquisition d'une nouvelle ligne mobile en intra-DR sur le canal du service client (700) et avec le droit ""AffichageBlocFacturationMobile"", je veux voir un message de warning sur le bloc de changement d'adresse de facturation mobile sur ""l'écran de validation de la commande"".";;;3;3;;;"http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.ChoixAdresseFacturation";;;;;"finLigne"
1112;2;"Story";"DM1 14-089 - Demenagement avec acquisition mobile";;;"Déménagement intra-DR: Griser certains champs de l'écran";;"Christophe";"Lors d'un déménagement vers OPEN avec acquisition d'une nouvelle ligne mobile (hors DEM vers FIBRE) sur le canal du service client (700), je veux voir les données suivantes grisées :
- Civilité, Nom, Prénom.
et les données N° de contact et départemetn de naissance à saisir";;;3;3;;;"http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.CreationClientLigneCompte
http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.InformationsComplementairesPourFrodon";;;;;"finLigne"
1103;2;"Story";"DM1 14-089 - Demenagement avec acquisition mobile";;;"Permettre le déménagement de RTC ou HOME vers OPEN avec acquisition d'une ligne mobile :
- suppression du switch ""mode.removeMobileAddressSubstitution""";;"Christophe";"Lors de la suppression du switch, je ne veux pas de régression sur le parcours de déménagement avec migration mobile vers OPEN";;;2;2;;;"http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.PriseCommandeQuad.GestionDemOpenAdrFacturationMobileSimultaneeSiCboEtGuidelinePocD";;;;" ";"finLigne"
"#";3;"it.";;22/01/15;;"ITERATION 03 du 22/01 au 05/02";;" ";;;;32;32;0;;;0;;;"35 pcx";"finLigne"
964;3;"Story";"FSCA parcours Lot3 Bis: Migration et acquisition fibre sur formulaire (lot1A)";"S";;"gérer les comptes de facturation pour les cas formulaire avec contrat cible Fibre New/Open Fibre New et la reprise d'acquisition NA vers Fibre New/Open Fibre New en N2
STORY N2 DELEGUEE";;"Zakia/Niels";"cas 1 : acq RTC vers Fibre New en N2 + réponse OK du createBillingAccount + changement moyen de paiement : vérifier à la validation de la commande :
1/ appel createBillingAccount pour création compte 02G 
2/ appel de updateBillingAccount avec id compte 02G créé
3/ génération CC0 V0 avec BillingAccount de type 02G avec id compte 02G créé + legacycreateBillingAccount à true avec données de paiement
'cas 2 : migration ADSL vers Fibre New en N2 + réponse OK du createBillingAccount + saisie moyen de paiement : vérifier à la validation de la commande :
1/ appel createBillingAccount pour création compte 02G 
2/ appel de updateBillingAccount
3/génération CC0 V0 avec BillingAccount de type 02G avec id compte 02G créé + legacycreateBillingAccount à true avec données de paiement maintenu
'cas 3 : reprise de commande d'acquisition NA vers Fibre New + réponse OK du createBillingAccount + saisie moyen de paiement : vérifier à la validation de la commande :
1/ appel createBillingAccount pour création compte 02G 
2/ appel de updateBillingAccount
3/génération CC0 V0 avec BillingAccount de type 02G avec id compte 02G créé + legacycreateBillingAccount à true avec données de paiement maintenu
'cas 4 : déménagement ADSL vers  Fibre New en N2 + réponse KO du createBillingAccount : vérifier à la validation de la commande :
pop up avec message bloquant ""Un problème lors de la création du compte de facturation a été rencontré.\n Nous ne pouvons poursuivre l'enregistrement de votre commande. Il est malheureusement nécessaire d'en reprendre une nouvelle.""+ bouton ""Prendre une nouvelle commande"" ";"cas de gestion formulaire N2 : acq NA vers FibreNew/Open Fibre New, acq RTC (avec ou sans erreur 103 de Reflet) vers FibreNew/Open Fibre New, migration ADSL vers FibreNew/Open Fibre New, déménagement ADSL vers FibreNew/Open Fibre New, reprise de commande d'acquisition NA vers Fibre New/Open Fibre New
Etape Pilotage Client/Ligne/Compte
vérifier nouveau compte 02G positionné comme compte de la commande pour ces cas
Etape Validation Commande
1/ vérifier appel ws createBillingAccount pour créer nouveau compte 02G (cf RG fitnesse)
2/ si besoin d'appeler updateBillingAccount, vérifier appel avec le bon id de compte 02G créé
3/ vérifier génération CCO V0 avec le bon id de compte 02G créé
4/vérifier en cas d'echec de createBillingAccount messsage bloquant + bouton ""Prendre une nouvelle commande"" ";"Soft";13;13;;;"http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.DeterminationComptesCommande
http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.EnchainementWsValidationCde";;;;" ";"finLigne"
1119;3;"Story";"Mon débit Lot 2";;;"Supprimer le bouton ""Débit maximal""
Regrouper les messages informatifs de la configuration dans un seul cadre.";;"Julien/Mathieu";"Lors du choix de l'offre, il n'est plus possible de connaître le débit maximal en cliquant sur le bouton ""Débit Maximal"". Le bouton n'apparait plus.
Les messages informatifs de la configuration sont regroupés dans un seul cadre.";;;8;8;;;"http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.AffichageDesContrats
http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.ConfigurateurGestionEntete";;;;" ";"finLigne"
1120;3;"Story";"Mon débit Lot 2";;;"Afficher les fourchettes de débit xDSL dans un tableau au choix d'offre et à la configuration.";;"Julien/Mathieu";"Les fourchettes de débit xDSL sont regroupées dans un tableau. Le picto VDSL est renommé VDSL2.";;;3;3;;;"http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.AffichageDesContrats";;;;;"finLigne"
1126;3;"Story";"14S021 - Loi conso";;"vendeur";"le recueil de consentement loi conso soit affiché uniquement pour les clients du marché résidentiel";"ne pas communiquer une info qui ne les concerne pas aux clients professionnels";"Patrick Mathieu";"commande d'acquisition en service client d'une offre R arrivée à l'écran récapitulatif de commande.
client segment de marché R ou S affichage du message loi conso
client segment de marche différent de R ou S pas de message 
commande d'acquisition en service client d'une offre P  arrivée à l'écran récapitulatif de commande.
client segment de marché R ou S affichage du message loi conso
client segment de marche différent de R ou S pas de message ";"A Reporter en C2
écran récapitulatif de commande - bloc loi conso - modifier la condition d'affichage du message de recueil de consentement (RG4.1)";"SOFT";3;3;;;"http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.AfficherRevueDeContrat";;"Report C2";;;"finLigne"
1124;3;"Story";"Retour prod";;;"Ecran d'accueil pour PAP: ajout des critères Mobile en choix convergent (DroitPOCDHommeConvergent)
+ Report C15-C2";;"Xavier";"En choix convergent, via POCD, sans catalogue (paramètre d'URL) et pour les canaux ayant le droitPocdHomeConvergent (PAP seulement), avoir la possibilité de faire :
- double acquisition => Open
- double migration => Open
- acq MS + migration Mobile => Open
- migration MS + acq Mobile => Open
- saisir un AID Bss
- saisir un Email
";;;5;5;;;"http://dvdsi400w.intranet-paris.francetelecom.fr:8083/FrontPage.SoftHome.ChoixUnivers";;"Report C15 et C2";;;"finLigne"
"#";4;"it.";;05/02/15;;"ITERATION 04 du 05/02 au 19/02";;" ";;;;29;29;0;;;0;;"MEP 17/03";"35 pcx";"finLigne"
